England Level Data,,,,,,,,,,,,,,,,
,A&E attendances,,,,Emergency Admissions,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances,Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency Admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,,Operational standard (Performance),,95.00%
14-Oct,"1,250,114","54,428","587,832","1,892,374","339,833","1,572","2,584","343,988","125,280","469,268","24,941",55,,0.95,,
14-Nov,"1,205,519","52,329","572,612","1,830,460","331,924","1,799","3,355","337,078","127,264","464,342","25,664",35,,0.95,,
14-Dec,"1,241,895","47,660","611,673","1,901,227","353,472","1,807","3,731","359,010","125,350","484,361","45,982",186,,0.95,,
15-Jan,"1,124,040","50,900","557,126","1,732,067","333,669","1,400","3,389","338,459","124,942","463,401","44,903",650,,0.95,,
15-Feb,"1,072,452","48,157","534,238","1,654,846","306,651","1,287","2,915","310,853","113,782","424,635","33,137",184,,0.95,,
15-Mar,"1,251,325","56,383","635,259","1,942,967","340,682","1,603","4,359","346,645","128,296","474,941","30,768",54,,0.95,,
15-Apr,"1,206,631","52,366","614,171","1,873,168","326,807","1,434","4,126","332,367","117,887","450,253","27,996",58,,0.95,,
15-May,"1,254,445","54,809","628,214","1,937,469","339,572","1,485","4,315","345,372","123,043","468,416","23,524",46,,0.95,,
15-Jun,"1,249,213","53,398","608,598","1,911,209","328,757","1,139","4,085","333,981","124,809","458,790","19,065",25,,0.95,,
15-Jul,"1,271,523","53,417","627,955","1,952,895","338,445","1,393","4,203","344,041","129,873","473,914","17,275",22,,0.95,,
15-Aug,"1,215,826","49,458","599,855","1,865,139","331,841","1,225","4,063","337,129","118,303","455,432","20,030",28,,0.95,,
15-Sep,"1,221,594","50,868","587,517","1,859,979","332,984","1,250","3,847","338,081","126,114","464,195","25,883",23,,0.95,,
15-Oct,"1,261,395","50,275","611,438","1,923,108","345,833","1,041","4,308","351,182","128,805","479,987","31,582",58,,0.95,,
15-Nov,"1,236,294","48,306","589,635","1,874,235","340,241","1,037","3,630","344,908","130,656","475,564","34,170",29,,0.95,,
15-Dec,"1,232,965","46,148","588,539","1,867,652","353,112","1,098","3,921","358,131","129,667","487,798","32,939",29,,0.95,,
16-Jan,"1,250,005","47,208","609,707","1,906,920","353,778","1,114","4,076","358,968","125,865","484,833","51,571",158,,0.95,,
16-Feb,"1,218,372","48,387","604,017","1,870,776","333,519","1,047","3,784","338,350","124,514","462,864","50,066",188,,0.95,,
16-Mar,"1,350,373","49,906","687,274","2,087,553","357,724","1,125","4,466","363,315","130,761","494,076","53,640",349,,0.95,,
16-Apr,"1,214,057","50,359","603,365","1,867,781","333,458","1,079","3,676","338,213","121,996","460,209","38,632",196,,0.95,,
16-May,"1,353,206","52,180","664,954","2,070,340","359,307","1,108","3,965","364,380","128,811","493,191","38,203",107,,0.95,,
16-Jun,"1,282,499","52,180","624,123","1,958,802","346,030","1,087","3,843","350,960","129,250","480,210","35,300",84,,0.95,,
16-Jul,"1,353,477","52,961","672,596","2,079,034","356,986","1,100","3,693","361,779","128,442","490,221","37,466",113,,0.95,,
16-Aug,"1,254,439","52,404","626,058","1,932,901","342,617","1,186","3,882","347,685","122,869","470,554","34,253",57,,0.95,,
16-Sep,"1,277,578","52,521","622,365","1,952,464","345,085","1,226","3,841","350,152","125,656","475,808","35,694",86,,0.95,,
16-Oct,"1,317,571","51,020","633,225","2,001,816","357,874","1,160","4,275","363,309","129,674","492,983","48,816",252,,0.95,,
16-Nov,"1,258,205","49,979","599,687","1,907,871","351,285","1,166","4,095","356,546","132,780","489,326","52,988",457,,0.95,,
16-Dec,"1,277,133","45,569","621,865","1,944,567","366,086","1,078","3,384","370,548","127,367","497,915","61,729",553,,0.95,,
17-Jan,"1,237,177","48,039","610,056","1,895,272","358,045","1,186","3,709","362,940","129,333","492,273","79,551",989,,0.95,,
17-Feb,"1,127,909","45,733","561,977","1,735,619","322,294","1,029","3,338","326,661","121,027","447,688","54,491",338,,0.95,,
17-Mar,"1,309,507","53,355","652,972","2,015,834","365,117","1,165","3,821","370,103","139,702","509,805","42,970",270,,0.95,,
17-Apr,"1,253,743","47,550","648,469","1,949,762","347,805","1,124","3,636","352,565","118,763","471,328","33,923",143,,0.95,,
17-May,"1,347,297","51,037","668,455","2,066,789","369,644","1,186","3,640","374,470","131,373","505,843","40,296",115,,0.95,,
17-Jun,"1,296,877","50,612","646,567","1,994,056","356,052","1,243","3,898","361,193","130,013","491,206","34,476",55,,0.95,,
17-Jul,"1,348,648","50,369","674,927","2,073,944","365,685","1,164","3,658","370,507","128,752","499,259","37,258",74,,0.95,,
17-Aug,"1,256,655","47,912","620,096","1,924,663","356,405","1,176","3,404","360,985","125,089","486,074","37,164",50,,0.95,,
17-Sep,"1,263,957","47,250","614,754","1,925,961","356,160","1,177","3,661","360,998","125,801","486,799","42,157",77,,0.95,,
17-Oct,"1,325,211","50,198","668,728","2,044,137","373,673","1,204","3,934","378,811","134,406","513,217","45,500",57,,0.95,,
17-Nov,"1,281,913","48,223","646,835","1,976,971","372,551","1,243","3,876","377,670","135,349","513,019","48,623",107,,,,
17-Dec,"1,289,587","42,158","672,209","2,003,954","387,919","1,150","4,467","393,536","127,267","520,803","69,086",517,,,,
18-Jan,"1,257,026","49,987","693,073","2,000,086","383,879","1,214","4,634","389,727","136,318","526,045","81,231","1,054",,,,
18-Feb,"1,151,757","41,902","626,353","1,820,012","347,470","1,087","4,145","352,702","124,165","476,867","68,712",369,,,,
18-Mar,"1,299,796","46,655","703,334","2,049,785","385,196","1,283","4,523","391,002","135,064","526,066","76,233",853,,,,
18-Apr,"1,246,348","47,256","690,765","1,984,369","370,142","1,418","4,290","375,850","127,543","503,393","48,004",356,,,,
18-May,"1,354,711","49,219","760,528","2,164,458","392,433","1,508","4,762","398,703","134,754","533,457","39,236",106,,,,
18-Jun,"1,306,739","49,635","737,568","2,093,942","376,782","1,646","4,506","382,934","130,320","513,254","33,750",99,,,,
18-Jul,"1,365,859","49,846","764,191","2,179,896","390,294","1,523","4,908","396,725","133,207","529,932","42,823",149,,,,
18-Aug,"1,252,767","49,117","695,970","1,997,854","382,863","1,508","4,703","389,074","128,225","517,299","40,214",162,,,,
18-Sep,"1,269,088","47,622","688,985","2,005,695","379,951","1,389","4,635","385,975","124,347","510,322","44,582",154,,,,
18-Oct,"1,320,032","51,282","708,178","2,079,492","398,478","1,703","4,913","405,094","140,928","546,022","49,014",214,,,,
18-Nov,"1,305,353","48,465","684,029","2,037,847","397,128","1,698","4,690","403,516","141,841","545,357","54,373",259,,,,
18-Dec,"1,307,359","43,072","697,087","2,047,518","407,286","1,565","4,781","413,632","131,271","544,903","59,805",284,,,,
19-Jan,"1,344,354","47,616","721,443","2,113,413","414,698","1,680","5,095","421,473","142,562","564,035","83,554",627,,,,
19-Feb,"1,234,328","44,183","676,436","1,954,947","370,476","1,645","5,381","377,502","128,220","505,722","70,815",521,,,,
19-Mar,"1,373,061","50,490","744,000","2,167,551","409,617","1,730","4,617","415,964","139,493","555,457","59,510",331,,,,
19-Apr,"1,330,825","49,281","732,059","2,112,165","398,802","1,787","4,850","405,439","129,787","535,226","66,933",442,,,,
19-May,"1,369,332","50,642","752,032","2,172,006","406,065","2,145","4,631","412,841","134,541","547,382","61,507",416,,,,
19-Jun,"1,334,137","49,233","724,617","2,107,987","392,446","1,528","4,696","398,670","130,131","528,801","57,671",462,,,,
19-Jul,"1,415,918","52,418","796,714","2,265,050","408,752","1,840","5,101","415,693","138,376","554,069","58,532",452,,,,
19-Aug,"1,324,070","48,786","752,579","2,125,435","393,710","1,366","4,877","399,953","129,278","529,231","56,498",371,,,,
19-Sep,"1,342,510","48,217","732,618","2,123,345","391,228","1,363","7,133","399,724","130,179","529,903","64,924",458,,,,
19-Oct,"1,376,347","50,391","744,147","2,170,885","412,649","1,810","6,647","421,106","142,027","563,133","80,091",725,,,,
19-Nov,"1,366,383","47,179","729,943","2,143,505","408,116","1,736","6,607","416,459","143,097","559,556","88,922","1,111",,,,
19-Dec,"1,373,654","43,458","763,425","2,180,537","416,017","3,570","5,047","424,634","136,161","560,795","98,461","2,356",,,,
20-Jan,"1,327,234","49,597","737,878","2,114,709","408,501","1,729","6,311","416,541","142,517","559,058","100,579","2,847",,,,
20-Feb,"1,237,255","45,124","687,312","1,969,691","374,612","3,231","4,434","382,277","128,534","510,811","78,646","1,621",,,,
20-Mar,"1,013,021","32,747","486,033","1,531,801","319,392","1,394","5,047","325,833","102,135","427,968","51,790","1,174",,,,
20-Apr,"689,720","19,726","207,129","916,575","252,680",960,"4,288","257,928","68,653","326,581","15,720",251,,,,
20-May,"924,218","26,479","311,140","1,261,837","308,798","1,165","2,756","312,719","85,687","398,406","13,457",93,,,,
20-Jun,"1,016,132","30,894","363,576","1,410,602","332,910","1,344","3,455","337,709","99,892","437,601","17,881",159,,,,
20-Jul,"1,120,421","32,759","435,106","1,588,286","358,671","1,340","3,372","363,383","109,843","473,226","21,025",271,,,,
20-Aug,"1,179,019","32,231","507,753","1,719,003","365,503","1,217","3,488","370,208","104,017","474,225","32,159",335,,,,
20-Sep,"1,163,948","33,295","496,637","1,693,880","365,705","1,208","3,682","370,595","109,260","479,855","44,996",346,,,,
20-Oct,"1,111,958","33,012","454,377","1,599,347","367,175","1,270","3,514","371,959","109,887","481,846","66,794","1,268",,,,
20-Nov,"1,036,350","31,872","416,954","1,485,176","343,989","1,155","3,533","348,677","105,239","453,916","71,041","2,148",,,,
20-Dec,"1,039,474","29,838","405,362","1,474,674","351,824","1,146","3,535","356,505","103,755","460,260","89,927","3,745",,,,
21-Jan,"941,194","25,744","343,868","1,310,806","343,534","1,085","3,426","348,045","97,555","445,600","95,695","3,825",,,,
21-Feb,"903,771","27,972","346,348","1,278,091","318,460","1,101","3,485","323,046","99,378","422,424","57,152","1,021",,,,
21-Mar,"1,161,079","35,656","494,547","1,691,282","375,926","1,391","5,605","382,922","121,004","503,926","50,972",688,,,,
21-Apr,"1,259,266","35,363","571,603","1,866,232","385,748","1,261","5,267","392,276","117,986","510,262","48,719",526,,,,
21-May,"1,396,116","38,747","640,679","2,075,542","411,470","1,403","5,593","418,466","125,499","543,965","57,308",695,,,,
21-Jun,"1,436,111","39,162","681,859","2,157,132","401,052","1,444","5,423","407,919","127,483","535,402","66,621","1,289",,,,
21-Jul,"1,430,733","39,313","690,082","2,160,128","402,085","1,323","7,160","410,568","122,144","532,712","89,762","2,208",,,,
21-Aug,"1,341,757","39,864","654,346","2,035,967","381,911","1,325","5,555","388,791","115,095","503,886","96,008","2,787",,,,
21-Sep,"1,392,405","40,503","694,296","2,127,204","379,118","1,296","5,309","385,723","121,363","507,086","104,873","5,024",,,,
21-Oct,"1,419,010","39,701","706,091","2,164,802","389,169","1,176","5,363","395,708","121,475","517,183","121,250","7,058",,,,
21-Nov,"1,336,830","39,025","662,100","2,037,955","374,964","1,246","5,298","381,508","124,734","506,242","120,744","10,646",,,,
21-Dec,"1,250,568","34,913","589,161","1,874,642","370,950","1,881","7,133","379,964","119,091","499,055","120,131","12,859",,,,
22-Jan,"1,247,417","36,557","591,228","1,875,202","358,968","1,204","5,320","365,492","119,460","484,952","122,433","16,564",,,,
22-Feb,"1,205,820","37,970","581,573","1,825,363","334,835","1,087","5,275","341,197","118,755","459,952","114,908","16,402",,,,
22-Mar,"1,421,526","41,910","711,362","2,174,798","374,562","1,258","5,728","381,548","132,707","514,255","136,298","22,506",,,,
22-Apr,"1,312,380","37,898","678,518","2,028,796","352,982","1,156","5,793","359,931","119,848","479,779","131,604","24,179",,,,
22-May,"1,437,421","41,874","753,758","2,233,053","377,496","1,276","6,015","384,787","132,924","517,711","125,318","19,657",,,,
22-Jun,"1,400,664","40,910","750,117","2,191,691","366,684","1,265","5,979","373,928","129,120","503,048","130,357","22,017",,,,
22-Jul,"1,397,083","39,632","744,940","2,181,655","362,027","1,198","6,144","369,369","127,730","497,099","135,819","29,139",,,,
22-Aug,"1,299,083","40,802","655,794","1,995,679","350,562","1,307","5,219","357,088","124,921","482,009","130,148","28,690",,,,
22-Sep,"1,301,611","40,188","666,690","2,008,489","353,779","1,325","5,653","360,757","126,720","487,477","131,572","32,762",,,,
22-Oct,"1,399,185","41,440","747,403","2,188,028","367,028","1,411","6,302","374,741","132,106","506,847","150,786","43,793",,,,
22-Nov,"1,395,183","42,644","740,977","2,178,804","368,997","1,558","6,271","376,826","138,699","515,525","143,672","37,853",,,,
22-Dec,"1,437,681","36,592","819,806","2,294,079","378,202","1,359","6,171","385,732","131,712","517,444","170,121","54,573",,,,
23-Jan,"1,243,898","42,076","682,364","1,968,338","364,353","1,464","5,386","371,203","137,576","508,779","142,210","42,767",,,,
23-Feb,"1,206,386","41,717","666,176","1,914,279","339,726","1,403","4,993","346,122","126,734","472,856","126,947","34,975",,,,
23-Mar,"1,372,403","46,803","746,745","2,165,951","381,708","1,461","5,198","388,367","143,724","532,091","144,308","39,687",,,,
23-Apr,"1,271,145","42,632","720,263","2,034,040","363,625","1,340","5,150","370,115","120,358","490,473","113,083","26,492",,,,
23-May,"1,400,815","45,826","799,278","2,245,919","388,202","1,338","5,548","395,088","133,847","528,935","122,427","31,498",,,,
23-Jun,"1,389,009","46,196","790,521","2,225,726","381,815","1,403","4,754","387,972","134,751","522,723","113,791","26,488",,,,
23-Jul,"1,379,854","45,513","774,420","2,199,787","391,312","1,383","7,719","400,414","134,268","534,682","108,240","23,396",,,,
23-Aug,"1,323,647","43,923","742,291","2,109,861","384,233","1,403","4,206","389,842","134,039","523,881","118,962","27,710",,,,
23-Sep,"1,369,045","42,631","758,370","2,170,046","383,234","1,325","4,372","388,931","132,297","521,228","124,956","32,228",,,,
23-Oct,"1,413,597","44,769","765,954","2,224,320","401,524","1,431","4,386","407,341","139,530","546,871","143,850","43,534",,,,
23-Nov,"1,386,008","42,365","739,211","2,167,584","396,755","1,452","4,319","402,526","142,117","544,643","145,934","42,503",,,,
23-Dec,"1,384,220","39,282","761,416","2,184,918","406,833","1,327","4,164","412,324","133,819","546,143","148,105","43,858",,,,
24-Jan,"1,397,975","42,835","790,015","2,230,825","403,208","1,399","4,561","409,168","147,086","556,254","158,735","54,312",,,,
24-Feb,"1,347,642","43,868","766,312","2,157,822","382,132","1,465","4,231","387,828","139,515","527,343","139,467","44,420",,,,
24-Mar,"1,462,878","48,922","858,421","2,370,221","420,025","1,515","4,614","426,154","141,302","567,456","140,195","42,972",,,,
24-Apr,"1,372,028","51,495","817,145","2,240,668","398,116","1,442","4,376","403,934","140,179","544,113","134,344","42,078",,,,
24-May,"1,472,721","51,246","892,325","2,416,292","414,156","1,490","4,558","420,204","144,489","564,693","138,770","42,555",,,,
24-Jun,"1,405,658","49,382","839,025","2,294,065","396,204","1,406","4,445","402,055","134,829","536,884","128,114","38,106",,,,
24-Jul,"1,425,569","51,499","847,764","2,324,832","405,655","1,479","4,648","411,782","140,686","552,468","129,330","36,806",,,,
24-Aug,"1,320,157","48,387","792,247","2,160,791","390,554","1,300","4,661","396,515","129,118","525,633","116,489","28,494",,,,
24-Sep,"1,364,482","48,534","801,201","2,214,217","393,406","1,323","4,677","399,406","131,418","530,824","130,632","38,880",,,,
24-Oct,"1,453,242","49,717","857,577","2,360,536","415,893","1,327","4,828","422,048","145,400","567,448","148,788","49,616",,,,
24-Nov,"1,428,050","47,263","839,685","2,314,998","407,955","1,267","4,887","414,109","138,052","552,161","140,782","45,791",,,,
24-Dec,"1,440,311","44,041","861,582","2,345,934","411,161","1,239","4,667","417,067","135,525","552,592","154,689","54,207",,,,
25-Jan,"1,359,026","49,486","809,618","2,218,130","400,481","1,353","4,394","406,228","142,547","548,775","159,582","61,529",,,,
25-Feb,"1,271,336","45,682","771,053","2,088,071","362,605","1,252","3,721","367,578","128,517","496,095","131,237","47,623",,,,
25-Mar,"1,450,686","51,237","887,141","2,389,064","404,354","1,366","4,569","410,289","140,840","551,129","133,957","46,766",,,,
25-Apr,"1,388,299","49,738","857,783","2,295,820","391,068","1,418","4,424","396,910","132,267","529,177","132,040","44,881",,,,
25-May,"1,453,036","50,919","891,931","2,395,886","403,255","1,440","5,282","409,977","135,963","545,940","130,035","42,891",,,,
25-Jun,"1,428,563","51,618","870,297","2,350,478","396,175","1,389","4,879","402,443","134,453","536,896","118,171","38,683",,,,
25-Jul,"1,469,050","52,989","885,845","2,407,884","412,893","1,443","5,115","419,451","139,941","559,392","115,542","35,467",,,,
