Date,y,year,month,quarter,month_sin,month_cos,lag_1,lag_2,lag_3,lag_12,roll3_mean,roll6_mean,roll12_mean,roll3_std,roll6_std,roll12_std,mom_1,mom_yoy,has_public_holiday
2013-01-01,1733118,2013,1,1,0.49999999999999994,0.8660254037844387,1822426.0,1755605.0,1832304.0,1737518.0,1803445.0,1828081.8333333333,1827527.3333333333,41724.00892771473,57379.59308122361,78820.32559312391,-0.04900500761073423,-0.0025323478663242804,0
2013-02-01,1648748,2013,2,1,0.8660254037844386,0.5000000000000001,1733118.0,1822426.0,1755605.0,1704232.0,1770383.0,1796181.0,1827160.6666666667,46451.82105149397,44885.05434997395,79285.96676970058,-0.04868104768400072,-0.032556600275079894,0
2013-03-01,1865084,2013,3,1,1.0,6.123233995736766e-17,1648748.0,1733118.0,1822426.0,1933153.0,1734764.0,1763448.6666666667,1822537.0,86850.69894940408,67800.02450638766,88220.79367854685,0.13121228956759912,-0.03521138782082944,0
2013-04-01,1831420,2013,4,2,0.8660254037844387,-0.4999999999999998,1865084.0,1648748.0,1733118.0,1769523.0,1748983.3333333333,1776214.1666666667,1816864.5833333333,109037.13966045404,79635.53377335255,82462.23644406008,-0.018049589187403847,0.03497948317145361,0
2013-05-01,1891670,2013,5,2,0.49999999999999994,-0.8660254037844387,1831420.0,1865084.0,1648748.0,1929570.0,1781750.6666666667,1776066.8333333333,1822022.6666666667,116407.03685487986,79511.72943010846,81157.30493680817,0.03289796988129434,-0.019641681825484425,0
2013-06-01,1831036,2013,6,2,1.2246467991473532e-16,-1.0,1891670.0,1831420.0,1865084.0,1887841.0,1862724.6666666667,1798744.3333333333,1818864.3333333333,30194.21244764213,91071.80361377934,77234.12510652079,-0.03205315937769271,-0.030089928124243492,0
2013-07-01,1976289,2013,7,3,-0.4999999999999997,-0.8660254037844388,1831036.0,1891670.0,1831420.0,1924523.0,1851375.3333333333,1800179.3333333333,1814130.5833333333,34896.73316133397,91585.96193449514,74307.51775678052,0.0793283146808692,0.026898093709454285,0
2013-08-01,1840591,2013,8,3,-0.8660254037844385,-0.5000000000000004,1976289.0,1831036.0,1891670.0,1845142.0,1899665.0,1840707.8333333333,1818444.4166666667,72955.79840561004,108260.77637707398,82364.61932877643,-0.06866303460678069,-0.0024664768348452437,0
2013-09-01,1768749,2013,9,3,-1.0,-1.8369701987210297e-16,1840591.0,1976289.0,1831036.0,1788491.0,1882638.6666666667,1872681.6666666667,1818065.1666666667,81244.15798279498,55891.78550974057,82240.89887180486,-0.03903202829960595,-0.011038355798267951,0
2013-10-01,1829429,2013,10,4,-0.8660254037844386,0.5000000000000001,1768749.0,1840591.0,1976289.0,1832304.0,1861876.3333333333,1856625.8333333333,1816420.0,105394.55375555865,70451.39373331681,83079.47673490406,0.03430673317695154,-0.001569062775609309,0
2013-11-01,1733037,2013,11,4,-0.5000000000000004,0.8660254037844384,1829429.0,1768749.0,1840591.0,1755605.0,1812923.0,1856294.0,1816180.4166666667,38660.758761307334,70598.39576647733,83033.63930738432,-0.05268966437068612,-0.012854827822887271,0
2013-12-01,1782029,2013,12,4,-2.4492935982947064e-16,1.0,1733037.0,1829429.0,1768749.0,1822426.0,1777071.6666666667,1829855.1666666667,1814299.75,48731.965908768114,83267.54787891135,84767.83350489527,0.028269448373000605,-0.02216660649046931,0
2014-01-01,1739539,2014,1,1,0.49999999999999994,0.8660254037844387,1782029.0,1733037.0,1829429.0,1733118.0,1781498.3333333333,1821687.3333333333,1810933.3333333333,48198.19105872478,85502.15142478453,85216.7364060428,-0.02384360748337988,0.0037048833374300205,0
2014-02-01,1661814,2014,2,1,0.8660254037844386,0.5000000000000001,1739539.0,1782029.0,1733037.0,1648748.0,1751535.0,1782229.0,1811468.4166666667,26607.931674596603,44850.86935166436,84702.31442631454,-0.04468137822721996,0.007924801121820924,0
2014-03-01,1957341,2014,3,1,1.0,6.123233995736766e-17,1661814.0,1739539.0,1782029.0,1865084.0,1727794.0,1752432.8333333333,1812557.25,60962.040033122255,56257.945751393156,82475.11277087283,0.17783398142030338,0.04946533239253559,0
2014-04-01,1877676,2014,4,2,0.8660254037844387,-0.4999999999999998,1957341.0,1661814.0,1739539.0,1831420.0,1786231.3333333333,1783864.8333333333,1820245.3333333333,153196.54834993294,101605.21446149668,91610.62948780305,-0.040700623958727644,0.025256904478492048,0
2014-05-01,1978028,2014,5,2,0.49999999999999994,-0.8660254037844387,1877676.0,1957341.0,1661814.0,1891670.0,1832277.0,1791906.0,1824100.0,152904.72142154412,107661.11421307175,93084.85309065653,0.05344479026200477,0.04565172572383136,0
